feature,importance
days_since_last_login,0.28038854426643584
api_calls_per_dollar,0.17807076343444905
api_calls_per_month,0.11637220497356708
ai_features_used,0.10163443346043431
ai_features_used_ratio,0.10018872270815418
support_tickets,0.0748918886634904
tenure_days,0.03640471506165875
plan_type_Starter,0.031066886271294353
company_size_Small,0.015133031216449523
monthly_spend_usd,0.011189282123840464
industry_SMB,0.00813361081335705
industry_HealthTech,0.007419864654312623
industry_E-commerce,0.006746390382165486
country_India,0.006083177351198284
company_size_Large,0.005440144516589359
industry_Retail,0.003268989383199955
country_UK,0.003181238704537983
plan_type_Enterprise,0.0030727088887311025
plan_type_Pro,0.0026118293866958073
industry_AI/ML,0.002472823221985971
industry_SaaS,0.0021492001936211577
company_size_Mid,0.0014322199589268496
industry_EdTech,0.0013744864927527683
industry_FinTech,0.000896267295574904
country_USA,0.000376576576576608
country_Canada,2.4077094067618657e-17
